No.,No. 2,Description,Price EXW,Description 2,Inventory,Net Change,Unit Price,Unit Price Including VAT,Unit Cost,Profit %,Base Unit of Measure,Blocked,Division Code,Item Category Code,Recipe Item Type,Barcode No.,BRANDS,Gen. Prod. Posting Group,Transfer Posting Group,Inventory Posting Group,Division Description,Item Category Description,Retail Product Code,DisCountinue,Unit Cost1,Retail Product Description,Qty. Onhand at Date,VAT Bus. Posting Gr. (Price),Date Created,Created by User,Last DateTime Modified,Last Modified by User,Gross Weight,Net Weight,No Discount Allowed,Price Includes VAT
26-74,N29,مساعدات خلفي باترول N29,0.00,OME SHOCK NISSAN R FIRM,8.,8.,485.00,485.00,189.608,55.0414,PCS,FALSE,CARS ACCES,SUSPENSION, ,9312891008487,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,FALSE,189.608,BP51 Shocks,8.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:28:00,30485,"3,700.",0.,FALSE,TRUE
26-740,200703,مسمار,0.00,SCREW HEX-   26/740,16.,16.,0.00,0.00,0.51,0.,PCS,FALSE,CARS ACCES,CAR EQP CA, ,3112600000755,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,0.51,ARB Accessories,16.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-741,6151046,ورده,0.00,WASHER FLAT 6MM TZP480,19.,19.,0.00,0.00,0.07,0.,PCS,FALSE,CARS ACCES,CAR EQP CA, ,9332018065469,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,0.07,ARB Accessories,19.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-742,200702,مسمار,0.00,SCREW HEX-HD    26/742,12.,12.,0.01,0.01,0.54,"-6,110.",PCS,FALSE,CARS ACCES,CAR EQP CA, ,3112600000757,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,0.54,ARB Accessories,12.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-743,200708,مسمار,0.00,SCREW CAP SOCK     26/743,76.,76.,0.00,0.00,1.63,0.,PCS,FALSE,CARS ACCES,CAR EQP CA, ,3112600000758,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,1.63,ARB Accessories,76.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-744,320205,قطع تركيب 320205,0.00,MUSHROOM POPPET 6MM V75 320205 ,544.,544.,68.00,68.00,29.05,50.87132,PCS,FALSE,CARS ACCES,KITS, ,3112600000759,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Kits,FITTING KI,TRUE,29.05,Fitting Kits,544.,VAT,13/3/2019,ZAIDG\RITD013,19/05/26 14:30:34,25275,0.,0.,FALSE,TRUE
26-745,160241,ورده,0.00,O-RING BS031N70,18.,18.,0.00,0.00,0.54,0.,PCS,FALSE,CARS ACCES,CAR EQP CA, ,9332018072375,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,0.54,ARB Accessories,18.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-746,160242,ورده,0.00,O-RING METRIC   26/746,12.,12.,60.00,60.00,0.54,98.965,PCS,FALSE,CARS ACCES,CAR EQP CA, ,3112600000761,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,0.54,ARB Accessories,12.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-747,160247,ورده,0.00,O-RING BS032S70,19.,19.,0.00,0.00,1.88,0.,PCS,FALSE,CARS ACCES,CAR EQP CA, ,9332018072429,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,1.88,ARB Accessories,19.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-748,160243,ورده,0.00,O-RING BSO32N70         26/748,15.,15.,0.00,0.00,0.54,0.,PCS,FALSE,CARS ACCES,CAR EQP CA, ,3112600000763,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,0.54,ARB Accessories,15.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-749,320204,ورده    26/748,0.00,FITTING  SAFETY VAVE   26/749,18.,18.,0.01,0.01,1.81,"-20,715.",PCS,FALSE,CARS ACCES,CAR EQP CA, ,3112600000764,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,1.81,ARB Accessories,18.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-75,N21,مساعدات امامي باترول N21,245.00,NITROCHARGER NISSAN Y60 26/75,3.,3.,245.00,245.00,190.10,10.76939,PCS,FALSE,CARS ACCES,SUSPENSION, ,9312891007947,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,TRUE,190.10,BP51 Shocks,3.,VAT,13/3/2019,ZAIDG\RITD013,18/06/26 10:03:05,35762,0.,0.,FALSE,TRUE
26-750,150115,سستة,0.00,SPRING SAFETY VALE  150PSI 150115,559.,559.,5.00,5.00,0.462,89.374,PCS,FALSE,CARS ACCES,SUSPENSION, ,3112600000765,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,FALSE,0.462,BP51 Shocks,559.,VAT,13/3/2019,ZAIDG\RITD013,27/07/25 11:02:17,30570,0.,0.,FALSE,TRUE
26-751,290503,قطع غيار كمبريسور هواء,0.00,AIR FILTER ELEMENT SINT,43.,43.,0.00,0.00,3.59,0.,PCS,FALSE,SPARE PART,SPARE PT S, ,9332018073976,ARB,PRODUCT,TRANSFER,INV,Spare Parts,Spare Parts,SPARE PT,FALSE,3.59,Spare Parts,43.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-752,320212,قطع تركيب 320212,0.00,AIR FILTER FLANGE CKM,"1,020.","1,020.",10.00,10.00,2.223,74.4355,PCS,FALSE,CARS ACCES,KITS, ,9332018017994,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Kits,FITTING KI,TRUE,2.223,Fitting Kits,"1,020.",VAT,13/3/2019,ZAIDG\RITD013,19/05/26 14:30:41,25275,0.,0.,FALSE,TRUE
