Type,No.,Standard Price Including VAT,Offer Price Including VAT
Item,11-495,5.00,2.00
Item,6-19,118.00,59.00
Item,22-3271,345.00,199.00
Item,11-497,24.00,11.00
Item,6-36,198.00,99.00
Item,22-3559,475.00,299.00
Item,11-501,90.00,19.00
Item,11-703,407.00,199.00
Item,22-3650,395.00,245.00
Item,11-503,15.00,4.00
Item,11-730,365.00,199.00
Item,26-1097,485.00,395.00
Item,11-504,27.00,6.00
Item,11-758,128.00,59.00
Item,26-1141,"4,950.00","3,695.00"
Item,11-506,47.00,10.00
Item,11-766,484.00,299.00
Item,26-1081,"5,950.00","3,495.00"
Item,11-507,15.00,4.00
Item,11-767,965.00,795.00
Item,26-1111,"4,950.00","3,695.00"
Item,11-509,55.00,12.00
Item,11-670,85.00,29.00
Item,26-1066,"5,400.00","3,695.00"
Item,11-510,240.00,72.00
Item,11-721,385.00,199.00
Item,26-1067,"4,600.00","3,695.00"
Item,11-511,452.00,108.00
Item,22-2507,258.00,99.00
Item,26-1112,"5,400.00","4,895.00"
Item,11-514,82.00,18.00
Item,22-2720,258.00,99.00
Item,26-1018,495.00,173.00
Item,11-515,15.00,4.00
Item,22-2721,258.00,99.00
Item,26-1244,320.00,245.00
Item,11-516,55.00,12.00
Item,22-2819,288.00,149.00
Item,26-1356,"2,450.00","1,495.00"
Item,11-517,42.00,9.00
Item,22-2820,288.00,149.00
Item,26-1255,780.00,425.00
Item,11-520,12.00,3.00
Item,22-4091,158.00,99.00
Item,26-1130,995.00,650.00
Item,11-524,42.00,9.00
Item,22-4093,158.00,99.00
Item,26-1362,"1,495.00",850.00
Item,11-525,70.00,15.00
Item,22-3371,175.00,99.00
Item,26-1355,"2,100.00","1,695.00"
Item,11-526,37.00,8.00
Item,22-3649,178.00,99.00
Item,26-472,850.00,695.00
Item,11-530,12.00,3.00
Item,22-2652,160.00,99.00
Item,26-1253,650.00,345.00
Item,11-531,75.00,16.00
Item,22-3725,168.00,99.00
Item,26-1065,825.00,495.00
Item,11-532,185.00,44.00
Item,22-4060,184.00,99.00
Item,26-1353,"1,995.00","1,795.00"
Item,11-533,17.00,4.00
Item,22-4061,184.00,99.00
Item,26-1526,895.00,595.00
Item,11-534,30.00,6.00
Item,22-2268,375.00,159.00
Item,26-1249,750.00,395.00
Item,11-536,18.00,4.00
Item,22-3386,265.00,149.00
Item,26-1250,365.00,295.00
Item,11-540,62.00,13.00
Item,22-3325,48.00,19.00
Item,26-1252,600.00,345.00
Item,11-543,12.00,3.00
Item,22-4004,185.00,89.00
Item,26-1245,210.00,195.00
Item,11-544,5.00,1.00
Item,22-4006,185.00,89.00
Item,26-1254,720.00,645.00
Item,11-545,32.00,7.00
Item,22-4010,228.00,99.00
Item,26-1247,450.00,345.00
Item,11-546,35.00,8.00
Item,LS-SCS10,72.00,59.00
Item,26-632,517.00,295.00
Item,11-547,81.00,17.00
Item,LS-SCS11,72.00,59.00
Item,26-24,950.00,495.00
Item,11-549,17.00,4.00
Item,22-2295,185.00,99.00
Item,26-1339,"1,150.00",895.00
Item,11-550,55.00,12.00
Item,19-411,279.00,199.00
Item,26-714,680.00,595.00
