SKU,Part#,DESC EN,img links
11-415,31111000000324,LED 4SIDE,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-415%20%D9%84%D9%85%D8%A8%D8%A9%20%D8%AC%D9%84%D8%B3%D8%A9%20%20(1)-800x800.png
11-416,31111000000325,LED-LIGHT WITH COVER,https://alrimaya.com/image/catalog/11-12-13-14/11-416%20%D9%83%D8%B4%D8%A7%D9%81%20%D8%AC%D9%84%D8%B3%D8%A9%20(2).png
11-417,31111000000326,12V-LED Llight,https://i.ibb.co/5Tt4gWm/11-417-2-Large.jpg
11-418,31111000000327,LED-8502,https://alrimaya.com/image/catalog/product/1457/11-418-1000-1-1457-thumb.jpg
11-419,31111000000328,X2DM-HB-I,https://i.ibb.co/vvzcKZQ/11-419-3-Large.jpg
11-420,31111000000329,X3RDMA-HB-I,https://alrimaya.com/image/catalog/product/2384/11-420%20(2)-2384-thumb.jpg
11-428,31111000000337,LED LIGHT DC-12V-0215L,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-428%20%20%D9%83%D8%B4%D8%A7%D9%81%20%D8%AC%D9%84%D8%B3%D8%A9%20%20(2)-800x800.png
11-429,31111000000338,LED SPOT LIGHT HML-1410-6400K,https://alrimaya.com/image/catalog/product-11-12-13-14/11-429%20(5).png
11-430,31111000000339,LED SPOT LIGHT HML -0920-20W-6400K,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-430%20%20%D9%83%D8%B4%D8%A7%D9%81%20%D8%AC%D9%84%D8%B3%D8%A9%20%20(1)-800x800.png
11-431,31111000000340,LED SPOT LIGHT HML -1518-18W-6400K,https://i.ibb.co/dGbFqKH/11-431-Large.jpg
11-432,31111000000341,LED LIGHT DC-12V-005,https://i.ibb.co/6NhVxFR/11-432-2-Large.jpg
11-433,31111000000342,LED LIGHT DC-12V-101,https://alrimaya.com/image/catalog/product/1458/11-433-1000-(4)-1458-thumb.jpg
11-435,31111000000344,30 W SPOT LIGHT NLD-1239,https://i.ibb.co/zVX5qch/11-435.jpg
11-438,31111000000347,EXTENSION SOCKET WITH USB,https://i.ibb.co/R3XdWZK/11-438.jpg
11-440,31111000000349,"LED WORK LIGHT, 80W,CREE, 9-60V, SPOT BEAM, 6500K",https://i.ibb.co/qrnPPkX/11-440.jpg
11-442,31111000000351,12V LIGHT CAR TYPE,https://alrimaya.com/image/catalog/product/1459/11-442-1000-(1)-1459-thumb.jpg
11-443,31111000000352,12V 1X3 LED WITH CABLE,https://i.ibb.co/LJd1G3s/11-443-1-Large.jpg
11-444,31111000000353,INPUT 220V - OUTPUT 4 USB,https://i.ibb.co/MC5ftMZ/11-444.jpg
11-445,31111000000354,12V LED 3X3W-CREE,https://i.ibb.co/bN9QJ7c/11-445.jpg
11-447,31111000000356,10W RECHARGEABLE LED FLOOD LIGHT,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-447%20%D9%83%D8%B4%D8%A7%D9%81%20%D8%AC%D9%84%D8%B3%D8%A9%20%20(5)-800x800.png
11-448,31111000000357,"43"" 240W LED LIGHT BAR, SPOT BEAM",https://alrimaya.com/image/cache/catalog/11-12-13-14/11-448%20%D9%84%D9%8A%D8%AF%20%D8%A8%D8%A7%D8%B1%20%20(3)-800x800.png
11-449,31111000000358,FLASH LIGHT 150 LUMIN( GOLD)-W/USB CHARGER-,https://alrimaya.com/image/catalog/11-12-13-14/11-449%20%D9%83%D8%B4%D8%A7%D9%81%20%D9%8A%D8%AF%D9%88%D9%8A%20(1).png
